,longitude,latitude,acq_date,DEM,fire,2_at
5507,81.8202,28.1281,2019-05-02,171.51535034179688,1,303.8756408691406
5508,81.495,28.6997,2019-05-09,599.2332763671875,1,301.46514892578125
5509,84.9714,27.2113,2019-03-25,186.68914794921875,1,296.88623046875
5510,80.7753,28.7358,2019-04-24,184.9630279541016,0,300.5252990722656
5511,80.5576,28.891,2019-06-21,578.2881469726562,0,300.0594177246094
5512,83.1135,28.1366,2019-05-09,1200.4222412109375,1,294.4002990722656
5513,85.6893,27.0334,2019-03-21,166.1204071044922,1,294.8805236816406
5514,87.1774,27.1465,2019-06-17,1113.20654296875,0,294.6153259277344
5515,86.794,26.6554,2019-01-12,162.03680419921875,0,287.84527587890625
5516,81.2847,28.5274,2019-05-15,186.9953155517578,1,300.5919189453125
5517,81.4551,28.8803,2019-03-12,920.8433227539062,0,289.7537536621094
5518,82.1625,28.4285,2019-02-04,1565.1602783203125,0,283.8453063964844
5519,80.541,28.969,2019-05-24,774.728759765625,0,302.4805908203125
5520,81.1902,28.8668,2019-05-10,423.9528198242188,1,298.29998779296875
5521,81.5427,28.4776,2019-01-30,660.8392333984375,0,284.9468078613281
5522,80.5576,28.891,2019-05-07,578.2881469726562,1,299.9902038574219
5523,80.6371,29.021,2019-06-05,1125.41162109375,0,297.7831115722656
5524,80.7945,28.7847,2019-05-20,213.90399169921875,1,296.8766784667969
5525,81.3073,28.5832,2019-03-08,236.0928955078125,0,289.75738525390625
5526,84.3866,27.5542,2019-05-27,172.35061645507812,0,299.257080078125
5527,81.8476,28.1417,2019-04-28,204.6943359375,1,302.1120300292969
5528,81.9108,28.1125,2019-05-26,253.14175415039065,0,303.0530700683594
5529,82.1689,28.0119,2019-03-04,305.6708984375,0,287.44482421875
5530,84.7858,27.2696,2019-03-20,174.99754333496094,0,293.76983642578125
5531,80.7945,28.7847,2019-04-23,213.90399169921875,0,294.2264709472656
5532,81.225,28.6018,2019-04-05,182.8009033203125,0,297.4959411621094
5533,84.6612,27.5043,2019-04-30,320.45428466796875,0,300.4107360839844
5534,81.6244,28.5008,2019-05-31,1005.2232055664062,0,301.9345397949219
5535,81.9605,27.9926,2019-04-29,246.49696350097656,1,303.8784484863281
5536,81.4877,28.2956,2019-04-11,178.82171630859375,0,299.568603515625
5537,84.8742,27.2313,2019-03-18,156.23866271972656,0,295.8472595214844
5538,81.5363,28.4747,2019-01-12,639.0833740234375,0,286.2584533691406
5539,80.6447,29.1344,2019-03-12,1566.618408203125,0,289.6323547363281
5540,81.9543,28.1262,2019-04-29,557.813720703125,1,302.0184326171875
5541,80.6598,28.7127,2019-05-09,180.00045776367188,1,304.2298889160156
5542,82.5325,27.9624,2019-03-21,714.9019775390625,0,293.09002685546875
5543,82.4082,27.921,2019-03-06,635.530517578125,0,289.5880432128906
5544,85.0661,27.2235,2019-04-26,196.54132080078125,0,302.9740905761719
5545,85.6812,27.0683,2019-05-04,193.735107421875,0,298.3592834472656
5546,80.3013,29.1129,2019-01-10,817.8256225585938,0,283.6556701660156
5547,82.3813,27.8217,2019-04-29,335.2169494628906,0,301.382568359375
5548,81.7079,28.2671,2019-03-22,216.78793334960932,0,294.75341796875
5549,80.417,29.0172,2019-04-28,912.3497314453124,0,297.5276184082031
5550,81.463,28.7339,2019-03-19,531.1103515625,0,293.0317687988281
5551,80.3859,29.0169,2019-05-09,798.7642211914062,0,298.7940979003906
5552,82.2047,28.305,2019-02-04,996.6591796875,0,283.8453063964844
5553,80.2857,29.1058,2019-03-12,657.8023071289062,0,289.99725341796875
5554,84.0792,27.5151,2019-01-31,364.2745971679688,0,285.80145263671875
5555,81.1269,29.1414,2019-05-08,1598.3155517578125,1,295.4751281738281
5556,84.6638,27.5374,2019-02-05,256.822509765625,0,288.8553161621094
5557,84.8949,27.2635,2019-12-05,249.9994354248047,0,287.2687072753906
5558,81.4888,28.4948,2019-05-12,451.8317260742188,1,304.19134521484375
5559,81.7549,28.2058,2019-05-07,183.8524627685547,1,301.74517822265625
5560,85.3176,27.0927,2019-11-11,116.97898864746094,0,294.92950439453125
5561,81.8921,28.5801,2019-05-05,1999.750732421875,0,294.1054382324219
5562,82.0247,28.3759,2019-06-15,1787.4061279296875,0,301.30596923828125
5563,84.8421,27.9798,2019-02-10,1068.2706298828125,0,281.4007263183594
5564,82.1835,28.7033,2019-05-12,1321.55126953125,1,294.6351623535156
5565,87.3239,27.0911,2019-01-29,831.8392333984375,0,283.5679016113281
5566,80.8191,28.6323,2019-04-21,165.0452880859375,1,298.4855041503906
5567,81.3634,28.508,2019-01-12,275.4551086425781,0,286.5694274902344
5568,81.485,28.3875,2019-01-04,505.33697509765625,0,285.948974609375
5569,82.8049,27.9025,2019-03-22,421.6734924316406,0,294.0457458496094
5570,85.7598,27.1855,2019-03-09,557.6442260742188,0,290.54583740234375
5571,81.7231,28.2299,2019-05-30,171.11697387695312,0,305.17938232421875
5572,81.9456,28.063,2019-04-29,179.99867248535156,0,302.0184326171875
5573,84.8777,27.262,2019-03-22,228.0411376953125,0,295.8986511230469
5574,80.4401,28.9694,2019-04-27,396.2394104003906,0,301.9578552246094
5575,82.8575,27.941,2019-05-27,662.85595703125,0,299.44134521484375
5576,80.7178,28.6387,2019-05-15,163.46884155273438,0,300.89508056640625
5577,80.4115,28.7727,2019-06-14,189.80389404296875,0,304.04620361328125
5578,81.8178,28.3281,2019-04-29,680.2184448242188,1,299.1959228515625
5579,81.3319,28.7055,2019-04-30,558.1995849609375,0,301.0387268066406
5580,80.4648,28.7527,2019-04-20,189.7998962402344,0,296.6435241699219
5581,81.4002,28.5767,2019-05-01,485.7178649902344,1,301.7455749511719
5582,81.4345,28.8914,2019-03-01,1175.47216796875,0,282.5491638183594
5583,80.4292,29.1057,2019-06-15,999.3109130859376,0,301.4410400390625
5584,81.8963,28.2808,2019-04-29,557.6576538085938,1,299.1959228515625
5585,80.8415,29.3056,2019-05-10,842.2728271484375,0,293.7787780761719
5586,86.7153,26.6821,2019-03-13,181.87527465820312,0,298.0241394042969
5587,81.5952,28.4611,2019-12-30,1112.173583984375,0,282.8705749511719
5588,81.1253,28.7097,2019-05-01,340.3309020996094,0,301.7610168457031
5589,81.1857,28.9818,2019-05-23,1159.456787109375,1,297.0890808105469
5590,81.4335,28.4248,2019-05-09,413.30859375,0,302.4054260253906
5591,82.2053,28.5946,2019-06-17,1148.281494140625,1,296.9030456542969
5592,80.7591,28.9981,2019-05-28,756.7359008789062,0,299.8581237792969
5593,81.8833,28.1118,2019-06-15,213.999740600586,0,305.5044250488281
5594,81.4773,28.4296,2019-06-05,291.3699951171875,0,303.7489318847656
5595,83.1646,27.74,2019-04-21,169.60037231445312,1,299.9809265136719
5596,80.513,28.9597,2019-01-29,938.9730834960938,0,282.7136535644531
5597,80.2993,29.2036,2019-03-25,523.1292724609375,0,292.8373718261719
5598,81.1253,28.7097,2019-01-31,340.3309020996094,0,285.6158142089844
5599,81.4899,28.3513,2019-03-10,206.93630981445312,0,291.6594543457031
5600,83.9017,27.6266,2019-06-21,315.662109375,0,301.2981262207031
5601,83.0323,27.6784,2019-04-01,120.21929168701172,0,299.6318054199219
5602,80.4426,28.7717,2019-05-26,194.9999847412109,1,302.4137268066406
5603,80.4454,29.1023,2019-05-08,732.55615234375,1,298.4303283691406
5604,80.4448,28.8192,2019-03-31,205.0,0,298.3299560546875
5605,81.9176,28.1168,2019-04-29,263.1068115234375,0,302.0184326171875
5606,82.6704,27.9144,2019-05-11,665.6314086914062,1,301.3389587402344
5607,81.4787,28.4545,2019-05-30,386.0623779296875,1,303.6402282714844
5608,80.2701,29.0188,2019-05-06,438.0259094238281,1,296.75384521484375
5609,82.1066,28.0525,2019-11-11,415.0476379394531,0,292.0215759277344
5610,86.6837,26.7619,2019-03-22,176.3953857421875,1,295.2499084472656
5611,80.4281,29.0157,2019-05-19,975.8838500976562,1,295.6476135253906
5612,81.3134,28.6625,2019-06-12,560.2764892578125,0,303.5460510253906
5613,81.1592,28.9175,2019-01-30,768.1942749023438,0,281.3618469238281
5614,81.6983,28.246,2019-03-22,181.299072265625,0,297.8330383300781
5615,81.3116,28.586,2019-03-28,244.45489501953125,0,294.2806701660156
5616,81.3118,28.825,2019-04-24,433.52099609375,0,295.2002258300781
5617,80.8907,28.8728,2019-04-14,783.0855102539062,0,295.8884582519531
5618,82.6513,27.7836,2019-04-22,364.8292846679688,1,296.4796447753906
5619,82.2339,28.2669,2019-06-17,1049.2177734375,0,301.1315612792969
5620,80.5018,28.9615,2019-05-06,778.7196044921875,1,299.3579406738281
5621,81.8159,28.2474,2019-04-19,789.8197021484375,1,297.0736999511719
5622,81.2522,28.505,2019-05-13,166.91229248046875,1,302.1596984863281
5623,81.4924,28.7306,2019-03-27,733.890869140625,0,294.088134765625
5624,81.9812,28.0873,2019-04-22,260.0968933105469,1,299.05609130859375
5625,82.8155,28.101,2019-01-30,1175.9573974609375,0,279.5396423339844
5626,84.8063,27.2693,2019-06-05,199.5545654296875,0,302.1838073730469
5627,80.3879,29.1089,2019-04-20,676.0782470703125,0,292.75079345703125
5628,86.0364,26.9895,2019-01-31,320.0084228515625,0,287.61407470703125
5629,85.3982,27.1058,2019-04-05,125.0,0,297.5879211425781
5630,84.4225,27.5537,2019-03-01,176.9144287109375,0,286.01312255859375
5631,81.4704,28.3797,2019-12-06,253.12515258789065,0,289.5872497558594
5632,81.1221,28.7008,2019-01-01,224.0218048095703,0,285.3523254394531
5633,82.0379,28.081,2019-06-15,503.4950866699219,0,303.3932800292969
5634,83.5307,27.7229,2019-12-06,691.819091796875,0,287.7514343261719
5635,81.2362,28.9253,2019-06-15,969.8458251953124,1,300.3706970214844
5636,81.3454,28.5151,2019-06-18,204.8793334960937,0,301.4299621582031
5637,86.6857,26.8138,2019-03-18,216.24703979492188,0,294.6855163574219
5638,83.0949,27.6733,2019-04-30,120.92111206054688,0,303.4947204589844
5639,81.8903,28.1697,2019-11-24,543.2024536132812,0,290.4902648925781
5640,82.1576,27.8937,2019-04-14,453.8123474121094,0,302.2272033691406
5641,80.7429,29.0688,2019-05-21,1221.61962890625,0,297.77655029296875
5642,81.5325,28.4793,2019-03-30,769.304931640625,0,296.9720764160156
5643,82.9305,27.7241,2019-05-05,156.0159912109375,0,300.7747497558594
5644,80.4705,29.0747,2019-02-16,912.9903564453124,0,285.5538330078125
5645,80.8474,28.5813,2019-03-19,160.11431884765625,0,293.2939453125
5646,81.1858,29.0015,2019-05-23,781.4291381835938,1,294.7076721191406
5647,84.8492,27.2838,2019-02-22,244.58297729492188,0,292.6249084472656
5648,82.777,27.9216,2019-03-19,428.8626098632813,0,291.2943115234375
5649,81.586,29.3264,2019-06-05,2328.59716796875,0,287.4302062988281
5650,84.8056,27.3411,2019-03-25,297.9952392578125,1,296.1609802246094
5651,80.8788,28.6369,2019-05-24,171.48020935058594,0,304.2929992675781
5652,80.1567,28.9264,2019-04-19,205.794174194336,0,296.7956237792969
5653,81.4038,28.4409,2019-06-10,287.9661865234375,0,305.1551208496094
5654,84.4761,27.5546,2019-02-05,181.9499053955078,0,289.5190124511719
5655,85.7598,27.1855,2019-05-15,557.6442260742188,0,298.5038757324219
5656,80.4398,29.1085,2019-06-02,737.1436157226562,0,298.5912780761719
5657,81.4555,28.7176,2019-04-28,562.6423950195312,1,299.847412109375
5658,81.4582,28.4771,2019-03-04,333.2809143066406,0,289.2121887207031
5659,81.4628,28.4311,2019-03-13,250.02452087402344,0,294.6257629394531
5660,81.0243,28.9251,2019-03-30,577.287841796875,0,292.6029968261719
5661,82.0812,28.0763,2019-02-20,848.594482421875,0,288.5776062011719
5662,80.6213,28.9484,2019-04-14,1447.2686767578125,0,298.731689453125
5663,81.9338,28.0691,2019-01-31,186.29830932617188,0,286.05108642578125
5664,80.5453,29.1922,2019-05-31,1412.7618408203125,1,300.047607421875
5665,82.084,28.3624,2019-01-31,1346.0762939453125,0,283.4051818847656
5666,83.906,27.5801,2019-04-26,190.8277282714844,0,298.1396179199219
5667,81.363,28.8302,2019-06-15,542.09716796875,0,301.4748840332031
5668,82.6824,27.9159,2019-03-31,640.228515625,0,296.2005615234375
5669,80.2448,29.0776,2019-05-11,530.4671020507812,1,299.3623962402344
5670,81.8125,28.1088,2019-04-12,162.599365234375,0,299.9151306152344
5671,81.6679,28.3433,2019-04-27,631.3976440429688,1,301.4299011230469
5672,84.8317,27.9784,2019-03-20,880.601318359375,0,288.7270812988281
5673,87.8298,27.5263,2019-03-28,1870.30810546875,0,266.423828125
5674,80.2003,28.8997,2019-01-29,194.85891723632807,0,284.4297790527344
