longitude,latitude,acq_date,DEM,fire,Precipitation_CHIRPS
83.9765,27.5019,2019-05-15,179.9072723388672,1,0.0
81.5925,28.3732,2019-04-29,319.9568176269531,1,0.0
82.9866,28.114,2019-02-22,1440.8812255859375,0,0.0
80.7365,29.0923,2019-05-23,1436.5877685546875,1,0.0
80.369,28.8692,2019-05-28,198.5116271972656,0,0.0
80.9971,28.9324,2019-04-01,432.5054321289063,0,0.0
81.2929,28.6565,2019-01-13,502.8921813964844,0,0.0
82.0479,28.0569,2019-04-19,309.2186279296875,1,0.0
80.3901,29.0967,2019-06-08,753.4247436523438,0,0.0
80.9622,28.5333,2019-05-18,153.58041381835938,1,0.0
84.8066,27.2418,2019-03-28,155.61141967773438,0,0.0
82.8205,28.0045,2019-05-11,718.9327392578125,1,4.283881187438965
81.6727,28.4958,2019-04-19,618.8135986328125,0,0.0
81.546,28.7129,2019-03-12,659.4063110351562,0,0.0
81.3319,28.7055,2019-05-08,558.1995849609375,0,4.536810398101807
82.1395,28.0204,2019-04-22,266.4027709960937,0,0.19967730343341827
81.3946,28.4495,2019-04-26,493.7882080078125,0,0.0021577368024736643
80.8452,28.5704,2019-01-31,159.1959991455078,0,0.0
86.6337,26.71,2019-03-15,337.076416015625,1,0.0
82.0606,28.1552,2019-05-16,732.9848022460938,0,0.0
81.6025,28.3225,2019-04-28,490.6472778320313,0,0.0
81.1126,28.8596,2019-04-02,544.3446044921875,0,2.4229564666748047
81.6358,28.4215,2019-04-09,802.7110595703125,0,1.3135370016098022
81.429,28.8985,2019-05-21,883.0655517578125,1,0.0
82.1921,28.2511,2019-06-01,1639.3701171875,0,10.979338645935059
80.9218,28.8071,2019-04-19,600.2418823242188,0,0.0
80.4315,28.7261,2019-02-25,183.20822143554688,0,12.482319831848145
82.1695,28.0257,2019-03-29,556.3265380859375,0,0.0
84.9189,27.2279,2019-03-25,194.27389526367188,1,0.0
81.1974,28.9743,2019-02-23,1811.481689453125,0,0.0
80.4033,28.7867,2019-05-05,195.0,0,0.0
81.3848,28.9615,2019-06-17,1260.5404052734375,1,0.0
83.9475,27.4914,2019-03-16,161.87057495117188,0,2.0374021530151367
80.1567,28.9264,2019-05-31,205.794174194336,0,0.0
80.6447,29.1344,2019-05-26,1566.618408203125,1,0.0
81.6778,28.5345,2019-03-21,452.4259643554688,0,0.0
80.4055,29.0556,2019-05-04,1030.68017578125,0,5.601410865783691
81.5006,28.5191,2019-03-21,944.7982177734376,0,0.0
81.313,28.5971,2019-04-05,259.24530029296875,0,0.0
80.7139,28.6579,2019-04-27,169.5730743408203,1,0.0
80.4544,28.9738,2019-06-21,746.0048217773438,0,0.0
81.9481,28.3271,2019-02-23,898.8572387695312,0,0.0
81.9509,28.1098,2019-03-31,253.871826171875,0,0.0
80.7367,29.0372,2019-05-07,894.6265869140625,1,0.0
80.2294,28.8222,2019-04-01,182.11993408203125,0,0.0
81.7006,28.4784,2019-05-30,667.588134765625,0,0.0
81.5358,28.7005,2019-04-21,1061.6209716796875,0,0.0
86.9806,26.7669,2019-03-23,219.61264038085932,1,0.0
81.4506,28.3289,2019-01-06,174.93617248535156,0,0.0
80.186,28.8461,2019-05-20,185.49221801757807,0,0.0
83.1646,27.74,2019-06-16,169.60037231445312,0,0.0
81.4893,28.6955,2019-06-15,680.0000610351562,0,0.0007985541014932096
85.2926,27.1293,2019-03-20,132.76551818847656,1,0.0
84.0478,27.5303,2019-03-23,381.7774963378906,0,0.0
81.9893,27.9526,2019-03-26,392.0516357421875,0,18.367733001708984
81.5256,28.3588,2019-05-18,539.3757934570312,0,0.0
80.3401,28.7432,2019-04-03,181.3412170410156,1,0.0
84.4596,27.5501,2019-05-27,182.2224578857422,0,0.0
80.9826,28.8872,2019-05-19,1480.3800048828125,0,6.031270503997803
84.0541,27.5234,2019-04-18,396.980224609375,0,0.0
84.6572,27.9491,2019-06-01,820.8402099609375,0,0.0
84.9436,27.2829,2019-03-22,309.6916809082031,1,0.0
81.9125,28.1035,2019-06-14,237.0087280273437,0,1.578086256980896
80.1902,29.1054,2019-03-16,816.2432250976562,0,0.0
80.8464,28.5969,2019-05-09,160.1868896484375,0,0.0
80.5418,29.1616,2019-01-10,1141.350341796875,0,0.0
81.4215,28.2039,2019-02-05,149.19082641601562,0,0.0
81.954,27.9813,2019-04-28,245.2823944091797,1,0.0
80.6236,29.1211,2019-06-24,1506.355712890625,0,0.0
80.4558,28.8046,2019-04-19,204.7719116210937,0,0.0
