longitude,latitude,acq_date
84.4214,27.5484,2019-02-25
86.9831,26.6861,2019-02-25
87.3368,27.0925,2019-02-25
87.3239,27.0911,2019-02-25
86.3958,27.2464,2019-02-25
84.7816,27.2189,2019-02-25
84.4993,27.5307,2019-02-25
84.4978,27.5399,2019-02-25
84.4109,27.547,2019-02-25
84.4722,27.5644,2019-02-25
84.2209,27.5401,2019-02-25
86.4121,27.2624,2019-02-26
86.4112,27.2519,2019-02-26
84.398,27.548,2019-03-01
84.3831,27.5453,2019-03-01
80.2461,28.8377,2019-03-01
80.2402,28.8416,2019-03-01
86.0308,26.8423,2019-03-02
83.8838,27.4608,2019-03-02
84.0735,28.0186,2019-03-04
84.0618,28.0171,2019-03-04
82.0081,27.9901,2019-03-05
84.6721,27.1547,2019-03-05
85.396,26.9976,2019-03-05
85.411,26.9949,2019-03-05
85.6906,26.988,2019-03-06
86.6386,26.6905,2019-03-06
85.8247,26.997,2019-03-06
85.8145,26.9956,2019-03-06
85.7007,26.9894,2019-03-06
85.4143,27.134,2019-03-06
84.8571,27.1199,2019-03-06
84.3992,27.552,2019-03-06
84.2006,27.5417,2019-03-06
84.1906,27.5402,2019-03-06
83.7331,27.5,2019-03-06
82.7839,28.5937,2019-03-06
81.2844,28.5092,2019-03-06
81.3097,29.664,2019-03-06
83.6278,28.5711,2019-03-07
80.1627,28.8379,2019-03-08
80.1829,28.8339,2019-03-08
80.1658,28.8502,2019-03-08
80.186,28.8461,2019-03-08
84.2133,27.522,2019-03-08
84.2087,27.5417,2019-03-08
84.2245,27.617,2019-03-08
80.16,28.842,2019-03-08
85.7254,26.9917,2019-03-08
84.1983,27.5234,2019-03-09
80.8273,28.5076,2019-03-09
80.1269,28.8202,2019-03-09
84.2224,27.5256,2019-03-09
85.1713,27.1581,2019-03-10
86.7353,26.7104,2019-03-10
84.2736,27.6504,2019-03-10
80.2634,28.7344,2019-03-11
85.6625,26.982,2019-03-11
84.5191,27.5328,2019-03-11
84.5042,27.5312,2019-03-11
85.6691,26.9846,2019-03-11
81.4404,28.3927,2019-03-11
80.4705,28.5933,2019-03-11
82.051,29.4215,2019-03-11
82.0388,29.42,2019-03-11
82.1141,29.5997,2019-03-12
85.8038,27.8152,2019-03-12
87.4568,26.9254,2019-03-12
87.4408,26.9224,2019-03-12
87.4677,26.9325,2019-03-12
87.4507,26.9292,2019-03-12
87.3785,26.9532,2019-03-12
86.752,27.5351,2019-03-12
86.0216,27.6378,2019-03-12
86.8438,26.6451,2019-03-13
85.7363,27.071,2019-03-13
85.7249,27.0696,2019-03-13
87.5541,27.3855,2019-03-13
87.7017,27.4238,2019-03-13
85.7427,27.3461,2019-03-13
85.6999,27.4039,2019-03-13
84.7652,27.3426,2019-03-13
85.215,27.5207,2019-03-13
85.1606,27.5204,2019-03-13
84.4567,27.5302,2019-03-13
84.4537,27.5484,2019-03-13
84.4432,27.547,2019-03-13
84.1375,27.5339,2019-03-13
84.1154,27.5402,2019-03-13
84.1052,27.5388,2019-03-13
85.1878,27.7838,2019-03-13
83.7111,27.632,2019-03-13
84.5896,27.8987,2019-03-13
83.709,28.0272,2019-03-13
84.2747,28.1225,2019-03-13
84.6436,28.2074,2019-03-13
84.6326,28.206,2019-03-13
84.2141,28.1883,2019-03-13
83.6009,28.4547,2019-03-13
83.5815,28.4978,2019-03-13
81.2928,28.5601,2019-03-13
83.9645,27.5393,2019-03-14
81.8997,27.9611,2019-03-14
86.0684,26.9979,2019-03-15
87.4572,26.9804,2019-03-15
87.4471,26.9791,2019-03-15
86.0887,26.9732,2019-03-15
87.7517,27.211,2019-03-15
85.8031,26.9959,2019-03-15
87.2404,27.2262,2019-03-15
87.1994,27.2206,2019-03-15
87.5651,27.3069,2019-03-15
87.132,27.2672,2019-03-15
86.7437,27.3233,2019-03-15
86.7336,27.3219,2019-03-15
86.7236,27.3205,2019-03-15
86.8579,26.6865,2019-03-15
86.7083,26.6656,2019-03-15
86.6337,26.71,2019-03-15
86.8115,26.744,2019-03-15
82.2936,27.9688,2019-03-15
82.3013,27.9622,2019-03-15
82.2884,27.9607,2019-03-15
84.4899,28.3495,2019-03-16
81.3764,28.4219,2019-03-16
85.7519,27.7434,2019-03-16
85.7619,27.7419,2019-03-16
86.6829,27.3602,2019-03-16
82.1125,29.8405,2019-03-16
84.8717,28.3968,2019-03-16
84.8813,28.3954,2019-03-16
