longitude,latitude,acq_date,DEM
86.9593,27.1261,2019-01-01,1219.8819580078125
85.4011,27.059,2019-01-04,105.66848754882812
85.3983,27.1038,2019-03-22,123.96177673339844
85.3982,27.1058,2019-03-24,125.0
82.6581,28.3111,2019-01-04,1890.16552734375
82.3021,28.3395,2019-05-10,1354.2930908203125
82.2971,28.3431,2019-05-10,1176.841796875
82.3116,28.3347,2019-05-10,1958.1588134765625
82.2979,28.33,2019-05-11,1432.339599609375
82.2996,28.319,2019-05-11,1320.41796875
82.3161,28.322,2019-05-11,1374.24072265625
82.2984,28.3171,2019-05-11,1347.52685546875
82.285,28.3252,2019-05-11,1489.317626953125
82.2819,28.3161,2019-05-12,1715.56103515625
82.2802,28.3169,2019-05-12,1626.110107421875
82.2668,28.3269,2019-05-13,1230.1854248046875
82.293,28.4095,2019-05-27,1647.221923828125
82.2955,28.2973,2019-06-15,1526.084716796875
82.2978,28.3003,2019-06-15,1405.908935546875
84.9472,27.3242,2019-01-06,460.23974609375
84.4668,27.5577,2019-01-10,179.99998474121094
84.4563,27.556,2019-01-10,180.06875610351562
84.5258,27.5319,2019-01-13,199.09841918945312
84.4465,27.5559,2019-01-20,178.4111328125
84.4225,27.5537,2019-01-20,176.9144287109375
84.4761,27.5546,2019-01-22,181.9499053955078
84.5021,27.5398,2019-01-31,190.0005340576172
84.9744,27.2761,2019-02-04,290.0002136230469
84.4596,27.5501,2019-02-05,182.2224578857422
84.4851,27.5389,2019-02-05,189.458984375
84.4838,27.5524,2019-02-05,183.5830078125
84.2221,27.5411,2019-02-05,156.6754608154297
84.4764,27.5483,2019-02-05,183.80520629882812
84.9801,27.1722,2019-02-10,141.08328247070312
84.1488,27.555,2019-02-18,137.24554443359375
85.3045,27.3145,2019-02-18,440.2234802246094
84.0486,27.5403,2019-02-18,120.46700286865234
84.4762,27.5614,2019-02-20,179.84625244140625
84.2386,27.5305,2019-02-22,153.264404296875
84.2329,27.5224,2019-02-22,192.22222900390625
84.214,27.5188,2019-02-22,181.0914764404297
84.2211,27.5298,2019-02-23,150.40805053710938
84.3928,27.5603,2019-02-23,170.35989379882812
84.4012,27.5558,2019-02-23,177.18768310546875
84.3866,27.5542,2019-02-23,172.35061645507812
84.4214,27.5484,2019-02-25,178.5299530029297
84.4993,27.5307,2019-02-25,202.1081085205078
84.4109,27.547,2019-02-25,182.26043701171875
84.4722,27.5644,2019-02-25,178.33189392089844
84.2209,27.5401,2019-02-25,155.97332763671875
84.398,27.548,2019-03-01,179.74612426757812
84.3831,27.5453,2019-03-01,182.60000610351562
84.3992,27.552,2019-03-06,177.7244873046875
84.2133,27.522,2019-03-08,189.38348388671875
84.2087,27.5417,2019-03-08,150.4996337890625
84.1983,27.5234,2019-03-09,313.9727783203125
84.2224,27.5256,2019-03-09,189.82391357421875
84.5191,27.5328,2019-03-11,196.47039794921875
84.5042,27.5312,2019-03-11,204.18283081054688
85.7427,27.3461,2019-03-13,906.5733642578125
85.6999,27.4039,2019-03-13,1674.7237548828125
84.7652,27.3426,2019-03-13,244.63768005371094
85.215,27.5207,2019-03-13,1276.3516845703125
85.1606,27.5204,2019-03-13,2093.86181640625
84.4567,27.5302,2019-03-13,217.0517120361328
84.4537,27.5484,2019-03-13,185.49057006835938
84.4432,27.547,2019-03-13,181.44528198242188
84.1375,27.5339,2019-03-13,171.41799926757812
84.1154,27.5402,2019-03-13,126.59814453125
84.1052,27.5388,2019-03-13,121.79597473144531
85.9516,27.3442,2019-03-16,939.6248168945312
84.9862,27.2658,2019-03-16,283.0597229003906
84.8601,27.227,2019-03-18,145.00015258789062
84.8742,27.2313,2019-03-18,156.23866271972656
85.2926,27.1293,2019-03-20,132.76551818847656
85.2712,27.1449,2019-03-20,141.91824340820312
84.9584,27.2518,2019-03-20,246.9593048095703
84.9458,27.2503,2019-03-20,239.58383178710938
84.9332,27.2488,2019-03-20,233.68536376953125
84.9568,27.2618,2019-03-20,271.1882629394531
84.9442,27.2603,2019-03-20,264.38519287109375
84.7323,27.2346,2019-03-20,140.34005737304688
84.9414,27.3202,2019-03-20,497.858154296875
84.9529,27.2711,2019-03-21,289.0775146484375
85.2619,27.1935,2019-03-21,187.0105438232422
84.5005,27.7636,2019-03-21,416.15966796875
84.8896,27.2639,2019-03-21,244.831787109375
84.8777,27.262,2019-03-21,228.0411376953125
84.8659,27.26,2019-03-21,206.5768585205078
84.9436,27.2829,2019-03-22,309.6916809082031
84.9044,27.2898,2019-03-22,318.761474609375
85.3245,27.112,2019-03-22,120.65862274169922
86.0904,27.0508,2019-03-22,330.2933044433594
85.3176,27.0927,2019-03-22,116.97898864746094
85.3075,27.0913,2019-03-22,118.01177978515625
85.3145,27.1106,2019-03-22,123.5644760131836
85.3129,27.1468,2019-03-22,151.74172973632812
85.3182,27.175,2019-03-22,176.48129272460938
85.3082,27.1736,2019-03-22,172.77574157714844
85.2679,27.1681,2019-03-22,162.48696899414062
85.2578,27.1667,2019-03-22,161.5463409423828
85.2663,27.177,2019-03-22,172.573974609375
84.956,27.2081,2019-03-22,178.4995880126953
84.8066,27.2418,2019-03-22,155.61141967773438
84.8949,27.2635,2019-03-22,249.9994354248047
84.825,27.2536,2019-03-22,179.99981689453125
84.815,27.2521,2019-03-22,174.89520263671875
84.9478,27.2801,2019-03-22,309.29010009765625
84.8079,27.2604,2019-03-22,186.22793579101562
84.798,27.259,2019-03-22,178.40518188476562
84.788,27.2576,2019-03-22,163.15467834472656
84.9462,27.289,2019-03-22,322.0775146484375
