,longitude,latitude,acq_date,DEM,fire,Scaled_LST
5332,81.3471,28.5843,2019-03-10,432.6515502929688,0,15002.0
5333,82.3161,28.322,2019-05-11,1374.24072265625,1,15252.0
5334,80.4489,28.8083,2019-12-06,199.99996948242188,0,14409.0
5335,80.4055,29.0556,2019-11-24,1030.68017578125,0,
5336,81.1822,28.9969,2019-05-17,1156.8966064453125,1,
5337,81.4719,28.3998,2019-03-20,363.3652038574219,0,14996.0
5338,84.3928,27.5603,2019-06-08,170.35989379882812,0,15185.0
5339,81.9802,27.9604,2019-05-12,299.8485717773437,0,15584.0
5340,81.0718,28.8909,2019-04-14,1001.9351806640624,0,15334.0
5341,81.4555,28.7176,2019-02-16,562.6423950195312,0,
5342,82.2329,27.9731,2019-11-11,286.6182861328125,0,14935.0
5343,87.6098,27.5177,2019-12-30,2201.41650390625,0,14330.0
5344,86.7411,26.6981,2019-06-12,213.2555389404297,0,
5345,80.2727,29.1291,2019-05-13,410.7320556640625,1,15209.0
5346,85.0957,27.1054,2019-05-21,116.77067565917967,0,
5347,80.1829,28.8339,2019-12-31,185.00018310546875,0,
5348,81.5054,28.4074,2019-03-06,570.546630859375,0,14765.0
5349,81.9067,28.1198,2019-11-11,256.9740600585937,0,14916.0
5350,81.7009,28.3391,2019-06-02,778.8584594726562,0,
5351,82.0975,28.1251,2019-04-28,567.6991577148438,0,15203.0
5352,84.4012,27.5558,2019-06-06,177.18768310546875,0,
5353,85.7125,27.039,2019-01-22,184.30288696289065,0,14805.0
5354,81.9363,28.1443,2019-02-16,441.0310974121094,0,
5355,80.4104,28.7748,2019-05-02,189.89617919921875,1,15656.0
5356,82.2331,28.2488,2019-05-19,1554.629638671875,1,
5357,81.2813,28.5792,2019-05-22,198.86865234375,1,15512.0
5358,85.7114,27.0122,2019-05-04,157.56512451171875,0,
5359,85.3083,27.077,2019-06-09,111.00973510742188,0,
5360,81.472,28.4523,2019-03-21,302.8345947265625,0,14963.0
5361,83.235,27.6806,2019-01-31,142.81857299804688,0,14283.0
5362,83.9765,27.5019,2019-05-26,179.9072723388672,0,
5363,81.5678,28.4568,2019-04-24,561.7868041992188,0,
5364,81.6792,28.5142,2019-05-15,453.8099670410156,1,15346.0
5365,81.0794,28.8913,2019-03-16,687.7491455078125,0,14763.0
5366,82.9167,27.9281,2019-03-18,945.9273681640624,0,
5367,81.5276,28.3293,2019-04-29,221.0746307373047,1,15423.0
5368,82.7286,27.6748,2019-05-25,144.0289306640625,0,15698.0
5369,81.284,28.578,2019-05-10,197.46664428710932,0,15457.0
5370,82.4804,27.7904,2019-03-05,342.032958984375,0,14655.0
5371,82.8535,27.9866,2019-03-06,1148.2393798828125,0,14669.0
5372,82.9444,27.6577,2019-01-31,119.65457153320312,0,
5373,81.62,28.436,2019-04-22,805.0901489257812,0,
5374,81.3752,28.8737,2019-05-21,1059.799560546875,1,15311.0
5375,81.3345,28.4958,2019-04-19,203.5399780273437,1,15269.0
5376,82.1767,27.9512,2019-06-08,506.22119140625,0,15560.0
5377,82.6866,27.8869,2019-06-06,814.2421264648438,0,15059.0
5378,81.2653,28.5374,2019-03-11,181.29373168945312,0,15004.0
5379,80.1839,28.8521,2019-06-21,187.28370666503903,0,
5380,81.4687,28.4813,2019-05-31,425.1461486816406,1,15316.0
5381,84.5459,27.4136,2019-04-23,479.8353271484375,0,15183.0
5382,81.4157,28.5734,2019-05-09,768.8677978515625,1,15552.0
5383,84.1528,27.737,2019-03-06,883.6138916015625,0,
5384,82.0984,28.1002,2019-12-05,854.3850708007812,0,14577.0
5385,80.8286,28.941,2019-01-06,779.142822265625,0,14002.0
5386,81.791,28.3127,2019-04-22,594.2750244140625,0,
5387,81.3143,28.564,2019-11-24,203.94046020507807,0,
5388,80.6512,29.1289,2019-03-20,1571.374755859375,0,14803.0
5389,81.3461,28.5665,2019-05-13,229.4461975097656,0,15478.0
5390,80.3762,29.0233,2019-05-12,654.7196655273438,1,15381.0
5391,82.8585,27.9369,2019-05-09,543.6148071289062,1,15487.0
5392,81.6988,28.3206,2019-04-24,545.73095703125,0,
5393,81.4474,28.6096,2019-03-10,657.9046630859375,0,14782.0
5394,81.4727,28.4305,2019-04-26,279.8408203125,0,15161.0
5395,82.0041,28.1166,2019-05-26,671.2982788085938,0,15462.0
5396,84.2133,27.522,2019-03-06,189.38348388671875,0,14856.0
5397,81.5155,28.4968,2019-04-11,904.419677734375,0,
5398,82.8781,27.9145,2019-04-30,399.987060546875,1,15562.0
5399,80.5793,29.1172,2019-03-30,1469.8453369140625,0,14763.0
5400,81.5448,28.3711,2019-04-27,559.9911499023438,1,15356.0
5401,80.2659,29.0679,2019-04-09,829.3798217773438,0,
5402,80.4398,29.1085,2019-05-26,737.1436157226562,0,15489.0
5403,80.1721,28.8596,2019-05-26,189.9027404785156,0,15502.0
5404,81.7223,28.2586,2019-05-16,194.3578948974609,0,15688.0
5405,81.8125,28.1088,2019-04-20,162.599365234375,0,15433.0
5406,80.8628,28.8503,2019-03-24,1387.07421875,0,15015.0
5407,82.3013,27.9622,2019-03-17,535.8316650390625,0,15132.0
5408,81.2631,28.5309,2019-03-23,175.602783203125,0,15146.0
5409,81.3105,28.7818,2019-03-05,314.93341064453125,0,
5410,81.5257,28.7348,2019-05-07,1111.9207763671875,0,15444.0
5411,83.8136,27.6831,2019-01-31,307.3152160644531,0,14616.0
5412,80.7004,28.7093,2019-03-16,180.650146484375,0,15046.0
5413,80.4819,29.1969,2019-05-21,1366.250244140625,0,15233.0
5414,81.3712,28.5704,2019-02-25,320.1407165527344,0,
5415,80.4381,28.8107,2019-04-23,199.73568725585932,1,15635.0
5416,82.0722,28.0609,2019-06-10,422.0166015625,0,15442.0
5417,82.8819,28.0674,2019-05-06,1332.0177001953125,1,15380.0
5418,81.5107,28.6765,2019-05-13,781.0921020507812,1,15390.0
5419,80.3122,29.0382,2019-04-22,843.0663452148438,0,15185.0
5420,81.6524,28.588,2019-04-18,724.6949462890625,0,
5421,80.8806,28.6277,2019-06-15,169.1977081298828,0,15670.0
5422,81.3313,28.8972,2019-05-09,637.1818237304688,1,15536.0
5423,83.5038,27.6476,2019-05-11,135.55123901367188,0,15403.0
5424,81.7771,28.253,2019-03-10,271.6846923828125,0,14920.0
5425,80.8345,29.3103,2019-05-06,916.8427124023438,1,15441.0
5426,84.2209,27.5401,2019-03-09,155.97332763671875,0,14905.0
5427,81.208,28.9848,2019-05-06,1509.2998046875,0,15221.0
