longitude,latitude,fire_prediction
81.5392,28.4691,0.001694915254237288
84.9189,27.2715,0.2
84.5191,27.5328,0.09655367231638419
82.1544,28.3458,0.0
82.8061,27.9133,0.04576271186440678
80.4394,29.0802,0.19491525423728814
81.9114,28.1378,0.03220338983050847
80.7806,28.8468,0.0
81.5392,28.4691,0.423728813559322
82.0489,28.4367,0.0
80.7796,29.3127,0.7220338983050848
81.863,28.2275,0.03898305084745763
84.8319,27.2679,0.4406779661016949
81.409,28.4598,0.07457627118644068
81.8359,28.5216,0.005084745762711864
82.2339,28.2669,0.0
81.9226,27.9675,0.8669491525423729
82.0347,28.5842,0.5711864406779661
81.1337,28.8108,0.2059322033898305
80.7888,28.7041,0.9050847457627119
82.5356,27.9497,0.0
82.5983,27.9629,0.7796610169491526
82.734,27.6943,0.03898305084745763
80.5248,29.146,0.0
80.8831,28.5489,0.001694915254237288
80.5481,28.9094,0.0
82.1091,28.3223,0.6
80.2114,28.8979,0.010169491525423728
81.3125,28.7233,0.8898305084745762
85.635,27.3076,0.4483615819209039
80.6719,29.0545,0.17966101694915254
81.4747,28.3953,0.005084745762711864
82.7364,27.8992,0.02711864406779661
81.5422,28.316,0.07062146892655367
85.6372,27.3863,0.04915254237288136
81.5363,28.4747,0.01694915254237288
87.2733,26.7806,0.26440677966101694
87.9522,26.4637,0.06779661016949153
82.285,28.3252,0.14745762711864407
84.9414,27.3202,0.7372881355932204
81.8988,28.12,0.9068966908797416
84.4563,27.556,0.7305084745762712
80.5164,29.1591,0.7593220338983051
80.162,28.865,0.32485875706214695
82.4503,27.9629,0.015254237288135594
81.2042,28.7409,0.40564971751412426
81.9027,28.1332,0.0
81.3,28.6396,0.05254237288135593
80.2161,28.8633,0.024293785310734464
84.9744,27.2761,0.12372881355932204
80.7783,28.9532,0.9101694915254237
84.7467,28.049,0.4480225988700566
82.4232,27.8101,0.019854721549636807
81.2735,28.5284,0.8559322033898306
82.0261,28.0798,0.9152542372881356
87.7107,27.1896,0.2016949152542373
81.8435,28.1225,0.01864406779661017
81.9763,28.2934,0.0
82.7464,27.8977,0.23898305084745763
81.2847,28.5274,0.03728813559322034
82.6824,27.9159,0.7271186440677966
84.7986,27.3359,0.8372881355932204
82.1939,28.3195,0.7016949152542373
80.4826,29.1847,0.7732203389830509
82.2291,27.994,0.03389830508474576
80.1938,29.1102,0.6367231638418078
82.2339,28.2669,0.2457627118644068
81.9386,28.1341,0.0
83.9765,27.5019,0.2677966101694915
81.5925,28.3732,0.5796610169491525
82.9866,28.114,0.022033898305084745
80.7365,29.0923,0.8593220338983051
80.369,28.8692,0.04576271186440678
80.9971,28.9324,0.05254237288135593
81.2929,28.6565,0.0
82.0479,28.0569,0.32033898305084746
80.3901,29.0967,0.09830508474576272
80.9622,28.5333,0.7915254237288135
84.8066,27.2418,0.04152542372881356
82.8205,28.0045,0.811864406779661
81.546,28.7129,0.001694915254237288
81.3319,28.7055,0.24067796610169492
82.1395,28.0204,0.22033898305084745
81.3946,28.4495,0.10813559322033897
80.8452,28.5704,0.0
81.6025,28.3225,0.18983050847457628
81.1126,28.8596,0.011864406779661017
81.6358,28.4215,0.006779661016949152
81.429,28.8985,0.7151129943502825
82.1921,28.2511,0.11016949152542373
82.1695,28.0257,0.0576271186440678
84.9189,27.2279,0.9355932203389831
81.1974,28.9743,0.0
80.4033,28.7867,0.7717514124293786
81.3848,28.9615,0.7847457627118644
80.1567,28.9264,0.16271186440677965
80.6447,29.1344,0.3593220338983051
81.6778,28.5345,0.0
81.5006,28.5191,0.0
81.313,28.5971,0.4491525423728814
80.7139,28.6579,0.6550847457627119
81.9481,28.3271,0.001694915254237288
81.9509,28.1098,0.006779661016949152
80.7367,29.0372,0.8625706214689266
80.2294,28.8222,0.1666101694915254
81.7006,28.4784,0.10508474576271186
81.5358,28.7005,0.17627118644067796
86.9806,26.7669,0.9508474576271186
81.4506,28.3289,0.0
80.186,28.8461,0.3711864406779661
83.1646,27.74,0.01864406779661017
81.4893,28.6955,0.20466101694915254
85.2926,27.1293,0.7677966101694915
84.0478,27.5303,0.4491525423728814
81.5256,28.3588,0.06440677966101695
80.3401,28.7432,0.7762711864406779
84.4596,27.5501,0.005084745762711864
84.6572,27.9491,0.10847457627118644
84.9436,27.2829,0.9976271186440678
81.9125,28.1035,0.003389830508474576
80.1902,29.1054,0.06610169491525424
80.8464,28.5969,0.18135593220338983
80.5418,29.1616,0.0
81.954,27.9813,0.8966101694915254
80.5306,29.0384,0.20451977401129945
85.9545,26.9817,0.6508474576271186
81.307,28.548,0.03559322033898305
80.3628,29.231,0.8745762711864407
84.3418,27.5571,0.022033898305084745
81.7788,28.435,0.0
81.84,28.114,0.05593220338983051
80.5639,28.9011,0.04915254237288136
81.5416,28.3524,0.7991525423728814
80.4599,29.1162,0.0
81.8837,28.1015,0.4
83.5038,27.6476,0.8016949152542373
83.9017,27.6266,0.12542372881355932
81.0215,29.2673,0.7508474576271187
82.1201,28.324,0.0
80.8057,29.3811,0.4288135593220339
81.9286,28.1154,0.001694915254237288
80.8831,28.5489,0.010169491525423728
84.7869,28.283,0.688135593220339
81.954,27.9813,0.21525423728813559
81.2117,28.9912,0.6807909604519774
84.8367,27.3371,0.504426957223567
81.7607,28.7231,0.9338983050847458
